208,"Black Robin","Rock Wren","Rockhopper Penguin",Kākā,Kingfisher
210,Kākāpō,"Black Robin","Great Spotted Kiwi",Kākā,"Little Penguin"
211,"Banded Dotterel",Bittern,"Black Robin","Black Stilt","Black-billed Gull"
213,"Yellow-eyed penguin","Black Robin","Blue Duck",Pūkeko,Kea
214,"Orange-fronted Parakeet",Rifleman,Silvereye,Fantail,Morepork
215,Tūī,Kākā,Morepork,Stitchbird,"New Zealand Robin"
217,"Little Penguin",Kākā,"Yellow-eyed penguin","Fiordland Crested Penguin",Morepork
218,Rifleman,"Rock Wren","Banded Dotterel",Takahē,"Yellow-eyed penguin"
219,Kererū,"Little Spotted Kiwi","Black Robin","Banded Dotterel","Barn Owl"
220,Fantail,Kingfisher,Rifleman,Saddleback,Morepork
221,Kererū,"Orange-fronted Parakeet",Mōhua,"Yellow-eyed penguin","Chatham Island Mollymawk"
222,"Yellow-eyed penguin",Kea,Takahē,Morepork,"Fiordland Crested Penguin"
223,"Black Robin","New Zealand Robin","Antipodean Albatross",Bittern,"Yellow-eyed penguin"
224,"South Island Kōkako",Fantail,Kererū,"New Zealand Falcon",Rifleman
225,"Fiordland Crested Penguin","Little Penguin","Rockhopper Penguin","Yellow-eyed penguin","Orange-fronted Parakeet"
227,Takahē,Kererū,Kōkako,"South Island Kōkako",Tūī
228,"South Island Kōkako",Morepork,Kākā,"Rockhopper Penguin","Black Stilt"
232,"Rockhopper Penguin","Little Penguin","Yellow-eyed penguin","Fiordland Crested Penguin","New Zealand Dotterel"
233,"Blue Duck",Kākā,"Yellow-eyed penguin","New Zealand Dotterel","North Island Brown Kiwi"
234,Kākā,"Antipodean Albatross","New Zealand Falcon","Northern Royal Albatross","Black Robin"
235,"Banded Dotterel","Fairy Tern","Black-fronted Tern","Black Petrel","Chatham Island Mollymawk"
236,Rifleman
238,Kākāpō,"Black Robin","South Island Kōkako","Orange-fronted Parakeet","Yellow-eyed penguin"
239,"Banded Dotterel",Bittern,"Black Robin","Black-billed Gull",Rifleman
240,"Banded Dotterel","Shore Plover","New Zealand Dotterel","Antipodean Albatross","Yellow-eyed penguin"
241,"Southern Brown Kiwi",Saddleback,"Barn Owl",Kea,Kākāpō
